RESPID,STRATUM,COMTYPE2,SMUSE_FB,SMUSE_YT,SMUSE_X,SMUSE_IG,SMUSE_SC,SMUSE_WA,SMUSE_TT,SMUSE_RD,SMUSE_BSK,SMUSE_TH,SMUSE_TS,RELIG,EDUCCAT,PARTY,HISP,RACECMB,RACETHN,AGECAT,BIRTHPLACE,GENDER,ADULTS,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
4902,10,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,1,2,2,1,1,4,1,99,2,2,3,1,1.604400946201048,0.923210347240876
8339,6,2,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2,2,2,1,1,3,2,1,2,2,4,4,1,1.566261683428348,1.393160740990684
18776,1,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1,2,2,2,2,4,1,2,1,4,2,1,0.0800821496071728,0.0689407420217793
15643,10,3,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1,2,2,2,1,1,3,1,1,2,8,3,1,0.802200473100524,0.560557146053228
13729,10,3,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,2,1,1,3,1,2,3,4,2,1,2.4066014193015723,1.1842197232707692
3247,8,1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99,99,99,99,99,99,99,99,2,99,99,3,1,0.1924822125794678,0.1017476057206829
16290,9,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,2,2,1,1,3,1,2,3,8,3,1,1.3527017882031658,0.7459628845586377
13587,2,1,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,2,2,2,2,4,3,1,99,1,1,1,1.732091006145039,0.8873601744535572
11688,10,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,2,1,2,1,1,3,1,2,2,5,3,1,0.802200473100524,0.4724080214475012
9470,10,2,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,2,1,1,2,5,3,1,1.604400946201048,1.7519112595682511
8822,10,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,1,2,1,1,4,1,2,3,4,3,1,2.4066014193015723,2.2685306589944343
16146,10,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,10,2,2,2,1,1,3,1,2,1,6,2,1,0.401100236550262,0.1932885788707889
2837,2,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2,2,2,2,2,3,1,2,2,2,3,2,1.154727337430026,0.7287648742718972
14112,7,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,2,2,1,99,3,3,1,2,4,2,3,1,0.5324944802748801,0.237622635753236
972,1,1,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,2,2,2,2,2,4,1,2,2,3,3,1,0.1601642992143456,0.1141821109708481
10906,10,3,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,12,3,2,2,1,1,4,1,1,1,7,2,1,0.802200473100524,0.5019885750217431
10946,10,2,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,2,1,1,1,5,2,1,0.802200473100524,0.5816619123517904
7432,10,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,12,2,2,2,1,1,2,1,2,1,4,4,1,0.401100236550262,0.2940162642602862
17217,10,2,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,1,3,2,1,1,4,1,1,2,5,1,1,0.802200473100524,0.1499951472248366
108,7,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,2,2,2,2,2,3,4,1,2,8,3,1,0.1774981600916267,0.1936783173955052
17737,2,2,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1,2,3,1,2,3,1,3,2,5,4,3,1,1.732091006145039,2.7893219079871296
6095,10,1,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5,1,2,2,1,1,2,1,1,2,8,1,1,0.802200473100524,0.6183538760015976
6852,10,2,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,3,2,1,1,1,1,1,1,1,4,1,0.401100236550262,0.4588487267494944
5103,10,2,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,1,1,2,3,5,2,1,1,4,6,4,1,2.4066014193015723,2.688025483588937
8643,10,2,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,9,1,3,2,1,1,4,4,1,1,8,1,1,0.802200473100524,0.4842827638107687
7729,6,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,12,3,3,2,1,1,2,1,2,5,1,3,1,2.3493925251425223,5.123458491503297
7376,10,99,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1,2,2,2,2,2,4,4,2,2,4,3,1,1.604400946201048,1.0449807129731012
14091,10,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,1,2,1,1,4,1,2,1,3,2,1,0.401100236550262,0.3488386837629438
16750,10,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,1,2,1,2,4,5,3,2,1.2033007096507862,0.8090288625381146
